Date,supply
12/31/2022,102.43
11/30/2022,102.66
10/31/2022,102.51
9/30/2022,102.13
8/31/2022,102.31
7/31/2022,101.87
6/30/2022,101.76
5/31/2022,101.06
4/30/2022,100.46
3/31/2022,99.99
2/28/2022,99.86
1/31/2022,99.86
12/31/2021,99.94
11/30/2021,99.54
10/31/2021,98.71
9/30/2021,96.94
8/31/2021,96.58
7/31/2021,96.93
6/30/2021,95.47
5/31/2021,94.9
4/30/2021,93.96
3/31/2021,93.77
2/28/2021,90.5
1/31/2021,93.91
12/31/2020,93.31
11/30/2020,93.31
10/31/2020,91.61
9/30/2020,91.35
8/31/2020,91.35
7/31/2020,90.36
6/30/2020,88.57
5/31/2020,88.49
4/30/2020,99.98
3/31/2020,100.53
2/29/2020,100.27
1/31/2020,101.4
12/31/2019,101.81
11/30/2019,102.1
10/31/2019,101.36
9/30/2019,99.49
8/31/2019,101.16
7/31/2019,99.95
6/30/2019,100.63
5/31/2019,100.18
4/30/2019,100.43
3/31/2019,100.18
2/28/2019,100.12
1/31/2019,100.37
12/31/2018,101.9
11/30/2018,102.44
10/31/2018,102.33
9/30/2018,101.42
8/31/2018,101.75
7/31/2018,101.18
6/30/2018,100.41
5/31/2018,99.6
4/30/2018,99.65
3/31/2018,99.53
2/28/2018,99.28
1/31/2018,99.02
12/31/2017,98.58
11/30/2017,99.46
10/31/2017,98.86
9/30/2017,98.31
8/31/2017,98.24
7/31/2017,98.96
6/30/2017,98.29
5/31/2017,97.6
4/30/2017,96.66
3/31/2017,96.83
2/28/2017,97.16
1/31/2017,97.27
12/31/2016,98.47
11/30/2016,99.54
10/31/2016,98.37
9/30/2016,97.14
8/31/2016,97
7/31/2016,98.02
6/30/2016,96.94
5/31/2016,96.43
4/30/2016,96.9
3/31/2016,97.17
2/29/2016,97.05
1/31/2016,97.91
12/31/2015,98.02
11/30/2015,98.05
10/31/2015,97.77
9/30/2015,97.57
8/31/2015,97.81
7/31/2015,97.99
6/30/2015,97.31
5/31/2015,96.77
4/30/2015,96.52
3/31/2015,96.44
2/28/2015,95.38
1/31/2015,95.49
12/31/2014,96.49
11/30/2014,95.85
10/31/2014,96.34
9/30/2014,95.15
8/31/2014,94.64
7/31/2014,94.18
6/30/2014,94.03
5/31/2014,93.18
4/30/2014,92.84
3/31/2014,92.53
2/28/2014,93.05
1/31/2014,92.52
12/31/2013,92.47
11/30/2013,92.36
10/31/2013,92.03
9/30/2013,91.76
8/31/2013,92.44
7/31/2013,92.56
6/30/2013,91.71
5/31/2013,91.62
4/30/2013,91.47
3/31/2013,90.61
2/28/2013,90.36
1/31/2013,90.53
12/31/2012,91.37
11/30/2012,91.65
10/31/2012,91.18
9/30/2012,90.45
8/31/2012,91.16
7/31/2012,91.09
6/30/2012,90.66
5/31/2012,90.91
4/30/2012,91.3
3/31/2012,90.91
2/29/2012,91.27
1/31/2012,90.96
12/31/2011,90.6
11/30/2011,90.26
10/31/2011,89.27
9/30/2011,88.82
8/31/2011,89.56
7/31/2011,89.06
6/30/2011,88.59
5/31/2011,87.67
4/30/2011,87.83
3/31/2011,87.9
2/28/2011,88.78
1/31/2011,89.93
12/31/2010,89.22
11/30/2010,89.36
10/31/2010,88.89
9/30/2010,89.11
8/31/2010,88.95
7/31/2010,89.04
6/30/2010,88.78
5/31/2010,88.65
4/30/2010,88.24
3/31/2010,87.94
2/28/2010,87.57
1/31/2010,86.95
12/31/2009,86.6
11/30/2009,87.07
10/31/2009,86.94
9/30/2009,86.5
8/31/2009,86.07
7/31/2009,86.42
6/30/2009,85.6
5/31/2009,85.31
4/30/2009,85.36
3/31/2009,84.96
2/28/2009,85.12
1/31/2009,84.45
12/31/2008,85.46
11/30/2008,86.75
10/31/2008,87.01
9/30/2008,85.42
8/31/2008,87.07
7/31/2008,88
6/30/2008,87.01
5/31/2008,87.06
4/30/2008,86.32
3/31/2008,86.8
2/29/2008,86.57
1/31/2008,86.5
12/31/2007,86.47
11/30/2007,85.95
10/31/2007,86.18
9/30/2007,85.43
8/31/2007,84.59
7/31/2007,85.4
6/30/2007,84.92
5/31/2007,84.93
4/30/2007,85.28
3/31/2007,84.86
2/28/2007,84.98
1/31/2007,84.71
12/31/2006,84.92
11/30/2006,85.17
10/31/2006,85.7
9/30/2006,85.44
8/31/2006,85.96
7/31/2006,86.15
6/30/2006,84.81
5/31/2006,84.83
4/30/2006,85.03
3/31/2006,84.71
2/28/2006,85.12
1/31/2006,85.06
12/31/2005,85.1
11/30/2005,85.39
10/31/2005,84.54
9/30/2005,84.59
8/31/2005,85.28
7/31/2005,85.03
6/30/2005,85.37
5/31/2005,85.86
4/30/2005,85.56
3/31/2005,85.11
2/28/2005,84.98
1/31/2005,84.59
12/31/2004,84.25
11/30/2004,84.57
10/31/2004,84.74
9/30/2004,83.84
8/31/2004,83.29
7/31/2004,84.34
6/30/2004,83.73
5/31/2004,82.08
4/30/2004,82.51
3/31/2004,82.62
2/29/2004,82.72
1/31/2004,82.71
12/31/2003,82.84
11/30/2003,81.5
10/31/2003,81.13
9/30/2003,80.08
8/31/2003,79.3
7/31/2003,78.74
6/30/2003,77.91
5/31/2003,78.62
4/30/2003,78.66
3/31/2003,79.8
2/28/2003,79.33
1/31/2003,77.53
12/31/2002,77.08
11/30/2002,79.03
10/31/2002,78.74
9/30/2002,77.28
8/31/2002,76.73
7/31/2002,76.89
6/30/2002,76.46
5/31/2002,76.78
4/30/2002,76.12
3/31/2002,76.62
2/28/2002,76.82
1/31/2002,76.69
12/31/2001,77.21
11/30/2001,77.95
10/31/2001,77.44
9/30/2001,77.44
8/31/2001,77.88
7/31/2001,77.72
6/30/2001,75.73
5/31/2001,77.3
4/30/2001,77.93
3/31/2001,78.94
2/28/2001,78.21
1/31/2001,78.33
12/31/2000,78.29
11/30/2000,79.93
10/31/2000,79.24
9/30/2000,78.88
8/31/2000,78.68
7/31/2000,77.78
6/30/2000,77.23
5/31/2000,77.48
4/30/2000,76.94
3/31/2000,76.32
2/29/2000,76.27
1/31/2000,75.69
12/31/1999,74.62
11/30/1999,75.31
10/31/1999,75.31
9/30/1999,74.71
8/31/1999,74.6
7/31/1999,74.67
6/30/1999,73.05
5/31/1999,74.11
4/30/1999,74.28
3/31/1999,75.69
2/28/1999,76.1
1/31/1999,75.66
12/31/1998,75.37
11/30/1998,75.68
10/31/1998,74.68
9/30/1998,74.52
8/31/1998,74.5
7/31/1998,75.21
6/30/1998,75.66
5/31/1998,75.97
4/30/1998,76.6
3/31/1998,76.71
2/28/1998,76.9
1/31/1998,76.49
12/31/1997,75.06
11/30/1997,75.17
10/31/1997,75.33
9/30/1997,74.81
8/31/1997,74.37
7/31/1997,73.46
6/30/1997,72.95
5/31/1997,73.75
4/30/1997,74.39
3/31/1997,73.93
2/28/1997,73.96
1/31/1997,73.43
12/31/1996,73.6
11/30/1996,73.01
10/31/1996,72.47
9/30/1996,71.99
8/31/1996,71.5
7/31/1996,71.93
6/30/1996,71.74
5/31/1996,71.48
4/30/1996,71.55
3/31/1996,71.67
2/29/1996,71.59
1/31/1996,71.29
12/31/1995,71.18
11/30/1995,70.83
10/31/1995,70.53
9/30/1995,70.94
8/31/1995,70.45
7/31/1995,70.32
6/30/1995,69.27
5/31/1995,70.32
4/30/1995,70.32
3/31/1995,69.4
2/28/1995,70.24
1/31/1995,69.84
12/31/1994,70.12
11/30/1994,69.74
10/31/1994,69.34
9/30/1994,68.76
8/31/1994,68.1
7/31/1994,68.23
6/30/1994,68.56
5/31/1994,68.15
4/30/1994,67.78
3/31/1994,68.14
2/28/1994,68.21
1/31/1994,68.48
